id,station_name,short_name,total_docks,docks_in_service,status,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_8hcu_yrd4,reference_matched,station_key,station_first_trip_at,source_ids,name_variants,first_trip_archive,opening_date_status,earlier_same_name_trip_at,service_date_review_reasons
a3a817dc-a135-11e9-9cda-0a87ae2ba916,Clifton Ave & Armitage Ave,CHI00421,15,15,Not In Service,41.918216,-87.656936,"{""type"":""Point"",""coordinates"":[-87.656936,41.918216]}",51,21190,68,797,34,16,43,True,divvy_2f0220900a5c2acc,2013-08-22 15:36:00,223 | CHI00421 | TA1307000163,Clifton Ave & Armitage Ave,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a81d33-a135-11e9-9cda-0a87ae2ba916,Halsted St & Willow St,CHI00407,19,19,In Service,41.913865,-87.648755,"{""type"":""Point"",""coordinates"":[-87.648755,41.913865]}",51,21190,68,168,34,16,43,True,divvy_883eda3d74673268,2013-08-01 16:24:00,224 | CHI00407 | TA1307000166,Halsted St & Willow St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a8224f-a135-11e9-9cda-0a87ae2ba916,Halsted St & Dickens Ave,CHI00291,20,20,In Service,41.919936,-87.64883,"{""type"":""Point"",""coordinates"":[-87.64883,41.919936]}",51,21190,68,744,34,16,43,True,divvy_bdb9d8cd7a40e46a,2013-08-19 15:30:00,13192 | 225 | CHI00291,Halsted St & Dickens Ave | Halsted St & Dickens Ave*,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a82c6c-a135-11e9-9cda-0a87ae2ba916,Southport Ave & Waveland Ave,CHI00336,24,24,In Service,41.948226,-87.6640712,"{""type"":""Point"",""coordinates"":[-87.6640712,41.948226]}",38,21186,57,724,25,53,44,True,divvy_a09bb19bb133f172,2013-08-20 13:55:00,13235 | 227 | CHI00336,Southport Ave & Waveland Ave | Southport Ave & Waveland Ave*,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a83181-a135-11e9-9cda-0a87ae2ba916,Damen Ave & Melrose Ave,CHI00516,15,15,In Service,41.9406,-87.6785,"{""type"":""Point"",""coordinates"":[-87.6785,41.9406]}",16,21538,46,647,40,39,32,True,divvy_b9c09a456b3fb2c3,2013-08-20 16:43:00,13143 | 228 | CHI00516,Damen Ave & Melrose Ave,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a83698-a135-11e9-9cda-0a87ae2ba916,Southport Ave & Roscoe St,CHI00234,19,19,In Service,41.943739,-87.66402,"{""type"":""Point"",""coordinates"":[-87.66402,41.943739]}",38,4449,57,239,25,22,44,True,divvy_89fa8c360375437b,2013-08-02 21:34:00,13071 | 229 | CHI00234,Southport Ave & Roscoe St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a83ba1-a135-11e9-9cda-0a87ae2ba916,Wood St & Webster Ave,CHI00331,19,19,In Service,41.9210567299,-87.6727974415,"{""type"":""Point"",""coordinates"":[-87.672797441483,41.921056729928]}",16,21190,23,209,40,16,32,True,divvy_2434327a0aa880ff,2022-07-19 07:11:21,CHI00331 | TA1307000138,Wood St & Webster Ave,202207-divvy-tripdata.zip,unverified_first_trip_proxy,,
a3a840a6-a135-11e9-9cda-0a87ae2ba916,Sheridan Rd & Montrose Ave,CHI00290,32,32,In Service,41.96167,-87.65464,"{""type"":""Point"",""coordinates"":[-87.65464,41.96167]}",37,21186,31,577,39,53,46,True,divvy_b8f983b39cdc76db,2013-08-20 11:35:00,231 | CHI00290 | TA1307000107,Sheridan Rd & Montrose Ave,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a845b0-a135-11e9-9cda-0a87ae2ba916,Pine Grove Ave & Waveland Ave,CHI00354,23,23,In Service,41.9494727409,-87.6464527845,"{""type"":""Point"",""coordinates"":[-87.646452784538,41.949472740883]}",37,21186,57,726,39,53,46,True,divvy_ce53c2c83aa1d3ec,2014-01-02 11:31:00,232 | CHI00354 | TA1307000150,Pine Grove Ave & Waveland Ave,Divvy_Stations_Trips_2014_Q1Q2.zip,unverified_first_trip_proxy,,
a3a84ab4-a135-11e9-9cda-0a87ae2ba916,Sangamon St & Washington Blvd,CHI00439,15,15,In Service,41.883165,-87.6511,"{""type"":""Point"",""coordinates"":[-87.6511,41.883165]}",41,14917,29,63,46,44,27,True,divvy_ee5af1bb0356395f,2013-08-02 17:37:00,13409 | 233 | CHI00439,Sangamon St & Washington Blvd | Sangamon St & Washington Blvd (*),Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
